customer_id,spending
1,444.1
2,207.28
3,532.31
4,1521.78
5,184.75
6,184.76
7,1627.92
8,614.57
9,139.3
10,469.22
11,140.32
12,139.93
13,327.13
14,24.63
15,30.88
16,124.62
17,72.57
18,356.77
19,82.3
20,44.94
21,1420.52
22,186.62
23,265.35
24,44.27
25,127.32
26,279.53
27,61.49
28,384.07
29,119.01
30,172.43
31,118.86
32,2259.13
33,240.76
34,68.77
35,656.59
36,56.54
37,314.39
38,23.3
39,49.71
40,309.89
41,593.57
42,300.56
43,212.99
44,170.49
45,41.5
46,103.15
47,140.78
48,870.05
49,369.57
50,29.5
51,361.01
52,154.15
53,108.6
54,509.8
55,843.2
56,748.1
57,89.38
58,168.84
59,364.13
60,788.91
61,137.69
62,195.82
63,64.87
64,58.24
65,648.74
66,1245.74
67,224.44
68,815.86
69,377.65
70,112.83
71,377.54
72,1549.43
73,234.4
74,1599.7
75,10.55
76,656.08
77,271.63
78,170.92
79,273.18
80,22.53
81,187.99
82,375.6
83,1441.55
84,131.38
85,92.74
86,134.01
87,733.98
88,363.04
89,129.58
90,453.01
91,274.92
92,782.41
93,105.38
94,165.14
95,152.85
96,42.26
97,349.1
98,334.71
99,246.2
100,184.66
101,44.77
102,147.71
103,162.19
104,93.44
105,201.63
106,397.37
107,2352.95
108,301.72
109,333.31
110,223.78
111,24.47
112,237.03
113,263.03
114,4702.69
115,194.25
116,351.38
117,234.71
118,60.19
119,964.29
120,603.24
121,632.22
122,82.17
123,1317.32
124,45.5
125,494.84
126,3389.87
127,74.54
128,124.02
129,275.77
130,133.73
131,38.06
132,265.68
133,68.39
134,431.95
135,81.18
136,1571.71
137,95.59
138,166.26
139,649.51
140,55.87
141,321.49
142,1174.47
143,35.55
144,305.38
145,334.24
146,625.27
147,55.46
148,50.17
149,457.75
150,349.46
151,330.49
152,370.83
153,108.2
154,323.34
155,347.82
156,103.83
157,2296.01
158,432.08
159,58.58
160,538.0
161,75.97
162,629.23
163,982.71
164,91.39
165,777.47
166,401.55
167,656.2
168,2383.09
169,182.28
170,99.04
171,84.15
172,91.93
173,223.07
174,368.48
175,341.05
176,660.25
177,248.54
178,1400.02
179,178.11
180,6400.96
181,518.43
182,87.48
183,67.69
184,436.58
185,187.14
186,576.4
187,431.77
188,224.21
189,88.57
190,39.73
191,143.19
192,683.81
193,316.37
194,54.88
195,301.21
196,388.53
197,84.72
198,294.26
199,262.39
200,62.08
201,375.91
202,479.59
203,897.54
204,866.59
205,46.84
206,79.41
207,453.98
208,453.3
209,453.98
210,24916.31
211,485.45
212,955.92
213,768.78
214,534.68
215,167.62
216,608.36
217,96.8
218,184.16
219,136.67
220,269.95
221,3934.7
222,26.03
223,557.53
224,35.33
225,138.89
226,903.92
227,264.31
228,67.14
229,103.71
230,553.09
231,101.86
232,317.27
233,258.45
234,111.95
235,3205.85
236,523.59
237,21.54
238,306.05
239,110.59
240,680.56
241,94.54
242,213.22
243,448.53
244,691.53
245,57.95
246,163.79
247,138.39
248,111.72
249,2035.6
250,397.81
251,53.89
252,736.15
253,3123.12
254,844.68
255,39.52
256,136.85
257,1119.11
258,104.67
259,416.79
